Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1595,Oakridge Medical - Identity & Access Management,ACC-10310,Oakridge Medical N.V.,S. Andersson,Cybersecurity,Identity & Access Management,Lost,0%,70500,EUR,2025-03-09,2025-04-22,2025-07-11,Timing / Postponed,Hyperscaler Co-sell,2025-07-11,2025-07-11 17:16:24
OPP-1670,Aurora Utilities - Data Platform Modernisation,ACC-10151,Aurora Utilities S.r.l.,Marco Rossi  ,Data & AI,Data Platform Modernisation,Lost,0,"437,000.00",EUR,2025-03-23,2025-07-12,2025-07-07,,Event / Webinar,2025-07-07,2025-07-07 17:00:00
OPP-1572,Kronberg Agency - Managed Cloud Services,ACC-10267,Kronberg Agency Ltd,"Hughes, Oliver",Cloud and Infrastructure,Managed Cloud Services,Closed Won,100%,169800,GBP,2025-03-03,2025-05-26,2025-09-02,,Hyperscaler Co-sell,2025-09-02,2025-09-02 17:00:00
OPP-1679,Helvetia Renewables - Application Support,ACC-10374,Helvetia Renewables S.p.A.,paolo conti,ERP & Business Apps,Application Support,Closed Lost,0,126000,€,2025-03-24,2025-10-09,2025-05-16,,Inbound - Website,2025-05-16,2025-05-16 19:24:20
OPP-1587,Iberia Brands - Security Assessment,ACC-10480,Iberia Brands AG,Felix Wagner,Cybersecurity,Security Assessment,Won,100,36000,EUR,2025-03-07,2025-07-30,01/01/2026,,Upsell,2026-01-01,2026-01-01 21:32:54
OPP-1593,Estrella Motorenwerk - Managed SOC,ACC-10542,Estrella Motorenwerk Ltd,Tom Barker,Cybersecurity,Managed SOC,Won,100%,106400,GBP,2025-03-08,2025-05-13,2025-05-18,,Existing Customer (Upsell),2025-05-18,2025-05-18 17:00:00
OPP-1604,Novara Logistics - AI & GenAI Solutions,ACC-10444,Novara Logistics S.r.l.,Marco Rossi,Data&AI,AI & GenAI Solutions,Closed Lost,0,433500,EUR,2025-03-10,2025-08-10,2025-11-30,Lost to Competitor,Inbound - Website,2025-11-30,2025-11-30 17:00:00
OPP-1655,Lusitania Brands - Analytics & BI,ACC-10698,Lusitania Brands S.r.l.,Marco Rossi,Data & AI,Analytics & BI,Lost,0%,126500,EUR,2025-03-20,2025-07-16,2025-11-03,Timing / Postponed,Partner Referral,2025-11-03,2025-11-03 17:00:00
OPP-1701,Gallway Agency - Application Support,ACC-10003,Gallway Agency SA,Camille Bernard,ERP & Business Apps,Application Support,Closed Lost,0,370500,EUR,2025-03-30,2025-09-27,2025-05-08,Not a Fit,Inbound - Website,2025-05-08,2025-05-08 20:14:39
OPP-1666,Castellan Energy - Application Support,ACC-10675,CASTELLAN ENERGY SA,Camille Bernard,ERP & Business Apps,Application Support,closed lost,0,224500,eur,2025-03-22,2025-09-05,2025-04-17,Not a Fit,Event / Webinar,2025-04-17,2025-04-17 18:33:25
