Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1831,Harbour Capital - DevOps & Platform Engineering,ACC-10323,Harbour Capital SAS,Chloé Martin,Cloud & Infrastructure,DevOps & Platform Engineering,Closed - Lost,0,167500,eur,2025-04-23,2025-08-11,2025-10-18,No Decision / Stalled,Website,2025-10-18,2025-10-18 17:00:00
OPP-1862,Valora Renewables - Identity & Access Management,ACC-10483,Valora Renewables AB,Sara Andersson,Cybersecurity,Identity & Access Management,Closed Won,100,576000,SEK,2025-04-29,01/09/2025,2025-08-06,,Hyperscaler Co-sell,2025-08-06,2025-08-06 17:00:00
OPP-1744,Granite Invest - Analytics & BI,ACC-10691,Granite Invest Ltd,Niamh Walsh,Data & AI,Analytics & BI,Lost,0,42700,GBP,2025-04-05,2025-08-12,2025-06-09,,Inbound - Website,2025-06-09,2025-06-09 17:00:00
OPP-1848,Karlsson Automotive - AI & GenAI Solutions,ACC-10619,KARLSSON AUTOMOTIVE LDA,Marco Rossi,Data&AI,AI & GenAI Solutions,closed won,100%,330500,eur,2025-04-27,2025-11-23,2025-10-31,,Existing Customer,2025-10-31,2025-10-31 17:00:00
OPP-1707,Brightwater Agency - Salesforce Implementation,ACC-10232,Brightwater Agency GmbH,Julia Hoffmann,ERP,Salesforce Implementation,Closed - Lost,,267500.00,EUR,2025-04-01,2025-09-10,2025-05-27,No fit,Inbound,27/05/2025,2025-05-27 17:00:00
OPP-1837,Cygnus Utilities - Data Platform Modernisation,ACC-10382,Cygnus Utilities Oyj,Mikael Lindqvist,Data & AI,,Closed Won,100,266 000,EUR,2025-04-24,2025-08-28,2025-08-01,,Event / Webinar,2025-08-01,2025-08-01 22:22:49
OPP-1780,Olympia Logistics - Analytics & BI,ACC-10133,Olympia Logistics AG,Anna Müller,Data & AI,Analytics & BI,Proposal Sent,75,"68,000.00",EUR,2025-04-12,2025-09-07,,,Existing Customer (Upsell),2025-12-26,2025-12-25 16:55:16
OPP-1713,Fontaine Finance - Salesforce Implementation,ACC-10300,Fontaine Finance AS,"Johansson, Sven",ERP & Business Apps,Salesforce Implementation,5 - Closed Won,100,1801000,NOK,2025-04-01,2025-06-28,2025-12-30,,Partner Referral,2025-12-30,2025-12-30 17:00:00
OPP-1829,Silverline Industries - Identity & Access Management,ACC-10343,Silverline Industries AB,Sara Andersson,Cybersecurity,Identity & Access Management,Closed Lost,0%,1480400,SEK,2025-04-23,2025-09-13,2025-08-29,Competitor,AWS/Azure Co-sell,2025-08-29,2025-08-29 17:00:00
OPP-1775,Gallway Mobility - Salesforce Implementation,ACC-10486,Gallway Mobility S.A.,Paolo Conti,ERP & Business Apps,Salesforce Implementation,Discovery,20,417000,EUR,2025-04-11,2025-11-08,,,Partner Referral,2025-05-11,2025-05-09 15:49:05
OPP-1764,Atlas Renewables - Cloud Migration,ACC-10539,Atlas Renewables SAS,Chloé Martin,Cloud & Infrastructure,Cloud Migration,closed won,100%,478000,EUR,2025-04-08,2025-10-11,2025-11-13,,SDR,2025-11-13,2025-11-13 17:00:00
OPP-1836,Vistula Consumer - Application Support,ACC-10299,Vistula Consumer plc,Grace Thompson,ERP & Business Apps,Application Support,Closed - Lost,0%,293500,GBP,2025-04-24,2025-09-01,25/06/2025,No Budget,Upsell,2025-06-25,2025-06-25 23:12:36
OPP-1835,Dunmore Motorenwerk - Managed Cloud Services,ACC-10298,Dunmore Motorenwerk AS,Freja Nielsen,Cloud & Infrastructure,Managed Cloud Services,5 - Closed Won,,6 328 100,NOK,2025-04-24,2025-08-04,06/07/2025,,Hyperscaler Co-sell,2025-07-06,2025-07-06 17:00:00
OPP-1824,Castellan Energy - DevOps & Platform Engineering,ACC-10675,Castellan Energy SA,Chloé Martin,Cloud & Infrastructure,DevOps & Platform Engineering,Closed - Lost,0%,300000,EUR,2025-04-21,2025-07-15,2025-06-15,No Budget,Upsell,2025-06-15,2025-06-15 17:00:00
OPP-1790,Invicta Logistics - Salesforce Implementation,ACC-10657,Invicta Logistics plc,Grace Thompson,ERP & Business Apps,Salesforce Implementation,Closed Won,100,"646,800.00",GBP,2025-04-14,2025-08-21,2025-06-25,,Partner Referral,2025-06-25,2025-06-25 17:48:40
OPP-1739,Valora Transport - Data Platform Modernisation,ACC-10436,Valora Transport N.V.,Emma de Vries,Data & AI,Data Platform Modernisation,Closed Lost,0,349000,EUR,2025-04-05,2025-07-23,2025-05-05,Budget,Outbound,2025-05-05,2025-05-05 17:00:00
