Opp_ID,Created_On,Opp_Name,Acct_ID,Owner_Email,Business_Unit,Offering,Sales_Stage,Win_Probability,Deal_Value,Deal_Currency,Close_Date_Expected,Close_Date_Actual,Lost_Reason,Source,Last_Activity,Forecast_Category,Modified_At
OPP-002531,27/08/2025,Castellan Medical - Identity & Access Management,ACC-10572,jan.kowalski@nexora-consulting.eu,CYBER,Identity & Access Management,Stage 5: Closed Won (100%),100,738900,PLN,24/02/2026,07/03/2026,,Outbound - SDR,07/03/2026,Best Case,07/03/2026 17:00
OPP-002444,16/08/2025,Alpenkraft Bank - Data Platform Modernisation,ACC-10536,ethan.clarke@nexora-consulting.eu,DATA_AI,Data Platform Modernisation,Closed Won,100,228100,gbp,03/12/2025,29/01/2026,,Event / Webinar,2026-01-29,Closed,29/01/2026 17:00
OPP-002517,25/08/2025,Meridian Capital - Managed SOC,ACC-10606,sara.andersson@nexora-consulting.eu,CYBER,Managed SOC,Stage 5: Closed Won (100%),1.0,,EUR,2026-02-12,03/02/2026,,Event / Webinar,03/02/2026,Closed,03/02/2026 20:23
OPP-002501,22/08/2025,Marisol Pharma - Identity & Access Management,ACC-10007,felix.wagner@nexora-consulting.eu,CYBER,Identity & Access Management,Stage 0: Closed Lost,0,127500,EUR,06/12/2025,10/09/2025,No Budget,Event,10/09/2025,Omitted,10/09/2025 17:00
OPP-002465,18/08/2025,Harbour Components - Security Assessment,ACC-10538,felix.wagner@nexora-consulting.eu,CYBER,Security Assessment,Closed Lost,0.0,76000,eur,16/01/2026,10/09/2025,No Decision / Stalled,Referral,2025-09-10,Omitted,10/09/2025 17:00
OPP-002487,21/08/2025,Corvina Automotive - AI & GenAI Solutions,ACC-10589,niamh.walsh@nexora-consulting.eu,DATA_AI,AI & GenAI Solutions,Closed Lost,0,196400,GBP,20/09/2025,29/11/2025,,Hyperscaler Co-sell,29/11/2025,Pipeline,29/11/2025 17:43
OPP-002436,14/08/2025,Vistula Power - Managed SOC,ACC-10580,sara.andersson@nexora-consulting.eu,CYBER,Managed SOC,Stage 5: Closed Won (100%),1.0,437000.00,EUR,02.12.2025,07/03/2026,,Existing Customer,2026-03-07,Closed,07/03/2026 18:31
OPP-002496,22/08/2025,Lindholm Broadcast - Data Platform Modernisation,ACC-10214,marco.rossi@nexora-consulting.eu,DATA_AI,Data Platform Modernisation,Stage 0: Closed Lost,0,453000,EUR,29/12/2025,24/08/2025,Not a Fit,Inbound - Website,24/08/2025,Omitted,24/08/2025 17:06
OPP-002508,23/08/2025,Dunmore Motorenwerk - AI & GenAI Solutions,ACC-10298,mikael.lindqvist@nexora-consulting.eu,DATA_AI,AI & GenAI Solutions,Stage 0: Closed Lost,0.0,974400,NOK,21/10/2025,31/08/2025,No Decision / Stalled,Upsell,31/08/2025,Omitted,31/08/2025 17:00
OPP-002417,10/08/2025,Quadra Industries - AI & GenAI Solutions,ACC-10086,anna.muller@nexora-consulting.eu,DATA_AI,AI & GenAI Solutions,Stage 0: Closed Lost,0,607000,,12/11/2025,12/09/2025,No Budget,Event,12/09/2025,Best Case,12/09/2025 17:00
OPP-002378,05/08/2025,Quadra Retail - SAP S/4HANA Implementation,ACC-10503,camille.bernard@nexora-consulting.eu,ERP_APPS,SAP S/4HANA Implementation,Stage 0: Closed Lost,0.0,"€793,000",EUR,30/01/2026,26/08/2025,No decision,SDR,26/08/2025,Omitted,26/08/2025 17:00
