Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-2124,Iberia Agency - Identity & Access Management,ACC-10008,Iberia Agency S.A.,Isabel Ferreira  ,Cybersecurity,Identity & Access Management,Closed Won,100,108500,EUR,2025-06-19,2026-03-31,2025-11-15,,Inbound - Website,2025-11-15,2025-11-15 17:00:00
OPP-2129,Kronberg Motorenwerk - Data Platform Modernisation,ACC-10189,Kronberg Motorenwerk GmbH,Anna Müller,Data and AI,,Closed Won,,229000,EUR,2025-06-19,2025-10-18,2025-10-19,,Referral,2025-10-19,2025-10-19 17:00:00
OPP-2063,Hansa Clinics - Managed SOC,ACC-10591,Hansa Clinics S.L.,Isabel Ferreira,Cybersecurity,Managed SOC,Closed Lost,0,406500,EUR,2025-06-05,2025-11-06,2026-01-09,No Decision / Stalled,Hyperscaler Co-sell,2026-01-09,2026-01-09 21:44:49
OPP-2109,Helvetia Brands - Salesforce Implementation,ACC-10198,Helvetia Brands SA,camille bernard,ERP,Salesforce Implementation,closed lost,0,94000,EUR,2025-06-15,2025-11-16,2025-09-29,Timing / Postponed,Hyperscaler Co-sell,2025-09-29,2025-09-29 23:22:25
OPP-2166,Zephyr Automotive - Identity & Access Management,ACC-10165,Zephyr Automotive Lda,Isabel Ferreira,Cybersecurity,,Closed Lost,0,157000,EUR,2025-06-27,2025-12-03,2025-10-26,No decision,Existing Customer,2025-10-26,2025-10-26 17:00:00
OPP-2118,Moselle Bank - Analytics & BI,ACC-10355,Moselle Bank S.r.l.,Marco Rossi,Data and AI,Analytics & BI,Won,100%,70500,EUR,2025-06-17,2025-10-05,2025-12-14,,Existing Customer,2025-12-14,2025-12-14 18:22:15
OPP-2161,Oakridge Automotive - Managed Cloud Services,ACC-10531,Oakridge Automotive AB,Freja Nielsen,Cloud & Infra,Managed Cloud Services,Won,100,2993800,SEK,2025-06-27,2025-10-30,2025-08-24,,Existing Customer (Upsell),2025-08-24,2025-08-24 17:00:00
OPP-2078,Elbe Automotive - Security Assessment,ACC-10264,Elbe Automotive S.A.,Jan Kowalski,cybersecurity,Security Assessment,Lost,0%,574 000,PLN,2025-06-09,2025-10-23,2025-07-10,No fit,Outbound - SDR,2025-07-10,2025-07-10 21:58:32
OPP-2070,Gallway Renewables - Cloud Migration,ACC-10678,GALLWAY RENEWABLES B.V.,Pieter Janssens,Cloud & Infrastructure,Cloud Migration,Closed Lost,0,121500,EUR,2025-06-06,2025-07-26,2025-07-10,no budget,Event / Webinar,2025-07-10,2025-07-10 17:00:00
OPP-2052,Isola Capital - Application Support,ACC-10118,Isola Capital Ltd,Grace Thompson,ERP & Business Apps,Application Support,Closed Lost,0%,"£619,100",GBP,2025-06-04,2025-09-27,2025-06-20,No fit,Inbound,2025-06-20,2025-06-20 17:00:00
OPP-2081,Vektor Institute - Managed SOC,ACC-10418,Vektor Institute SA,D. Moreau,Cybersecurity,Managed SOC,Closed Lost,0,233000,EUR,2025-06-09,2026-01-01,2026-08-12,Postponed,Inbound,2026-08-12,2026-08-12 17:10:02
OPP-2149,Lindholm Motorenwerk - AI & GenAI Solutions,ACC-10218,Lindholm Motorenwerk N.V.,"de Vries, Emma",Data & AI,AI & GenAI Solutions,Closed Lost,0,158000,EUR,2025-06-25,2025-09-23,2025-07-25,No Budget,Partner Referral,2025-07-25,2025-07-25 17:00:00
OPP-2103,Zentra Power - Application Support,ACC-10697,Zentra Power GmbH,Lena Fischer,ERP & Business Apps,Application Support,Closed - Lost,0,366000,eur,2025-06-14,2025-09-21,2025-07-14,Stalled,Event / Webinar,14/07/2025,2025-07-14 17:00:00
OPP-2153,Baltica Motorenwerk - AI & GenAI Solutions,ACC-10550,Baltica Motorenwerk S.p.A.,Marco Rossi,Data&AI,AI & GenAI Solutions,Closed Lost,0%,146500,EUR,2025-06-25,2025-11-11,2025-08-30,Not a Fit,Partner,2025-08-30,2025-08-30 23:11:56
OPP-2112,Juniper Medical - Managed SOC,ACC-10145,Juniper Medical S.A.,Sara Andersson,cybersecurity,Managed SOC,closed lost,,837000,EUR,2025-06-16,2025-09-02,2026-01-11,Competitor,Partner Referral,2026-01-11,2026-01-11 18:24:42
OPP-2086,Riviera Finance - Managed SOC,ACC-10120,Riviera Finance S.à r.l.,Sara Andersson,Cyber Security,Managed SOC,Lost,0%,167000,EUR,2025-06-10,2025-11-02,2025-06-27,No Decision / Stalled,Website,2025-06-27,2025-06-27 17:23:21
OPP-2043,Rhein Automotive - Cloud Migration,ACC-10196,Rhein Automotive S.r.l.,Mateo López,Cloud & Infrastructure,Cloud Migration,Solution Design,70%,170000,EUR,2025-06-03,2025-11-10,,,Inbound - Website,29/08/2025,2025-08-26 19:18:48
OPP-2068,Brightwater Foods - Analytics & BI,ACC-10631,BRIGHTWATER FOODS LTD,Ethan Clarke,Data & AI,Analytics & BI,Closed Lost,0,70800,GBP,2025-06-06,2025-09-04,2025-07-24,No Budget,Hyperscaler Co-sell,2025-07-24,2025-07-24 21:45:37
OPP-2115,Lusitania Components - Application Support,ACC-10333,Lusitania Components SE,Julia Hoffmann,ERP & Business Apps,,closed lost,0%,72500,EUR,2025-06-17,2025-08-22,2025-11-14,,Upsell,2025-11-14,2025-11-14 19:03:54
