Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1040,Olympia Logistics - SAP S/4HANA Implementation,ACC-10133,Olympia Logistics AG,Julia Hoffmann,ERP & Business Apps,SAP S/4HANA Implementation,Closed Won,100,629000,EUR,2024-11-16,2025-05-10,2025-01-23,,Hyperscaler Co-sell,2025-01-23,2025-01-23 17:00:00
OPP-1067,Karlsson Automotive - Cloud Migration,ACC-10619,Karlsson Automotive Lda,"López, Mateo",Cloud and Infrastructure,Cloud Migration,Closed Lost,0,933500,EUR,2024-11-21,2025-03-09,2025-03-16,No Decision / Stalled,Outbound - SDR,2025-03-16,2025-03-16 17:00:00
OPP-1071,Valora Precision - Data Platform Modernisation,ACC-10357,Valora Precision plc,ethan clarke,Data and AI,Data Platform Modernisation,Closed Lost,0%,219 900,GBP,2024-11-22,2025-03-13,2024-12-14,Not qualified,Outbound,2024-12-14,2024-12-14 17:00:00
OPP-1036,Oakridge Freight - DevOps & Platform Engineering,ACC-10667,Oakridge Freight A/S,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0,1074900.00,DKK,2024-11-15,2025-01-30,2025-04-01,,Event,2025-04-01,2025-04-01 17:00:00
OPP-1007,Jadeport Foods - Application Support,ACC-10157,Jadeport Foods plc,Grace Thompson,ERP,,Closed Lost,0%,102400,GBP,2024-11-07,2025-03-06,2024-12-18,No Budget,Event,2024-12-18,2024-12-18 17:00:00
OPP-1074,Delta Industries - Application Support,ACC-10079,Delta Industries SAS,Camille Bernard,ERP & Business Apps,Application Support,Closed Lost,0,81500,,2024-11-22,2025-03-26,2025-10-16,Budget,Co-sell,2025-10-16,2025-10-16 17:00:00
OPP-1079,Zephyr Automotive - DevOps & Platform Engineering,ACC-10165,Zephyr Automotive Lda,mateo lópez,Cloud and Infrastructure,DevOps & Platform Engineering,Closed Won,100,97500,EUR,2024-11-23,2025-06-14,2025-04-10,,Inbound - Website,2025-04-10,2025-04-10 18:16:48
OPP-1052,Tamsin Components - Managed Cloud Services,ACC-10179,Tamsin Components B.V.,Pieter Janssens,Cloud and Infrastructure,Managed Cloud Services,Closed Lost,0%,311500,EUR,2024-11-19,2025-03-21,2024-12-15,Not a Fit,Existing Customer (Upsell),2024-12-15,2024-12-15 20:49:16
OPP-1028,Alpenkraft Grid - Analytics & BI,ACC-10705,Alpenkraft Grid SA,Emma de Vries,Data & AI,Analytics & BI,Closed Lost,0,47500,EUR,2024-11-11,2025-02-18,2024-12-13,No fit,Event / Webinar,2024-12-13,2024-12-13 20:19:11
OPP-1041,Harbour Capital - Data Platform Modernisation,ACC-10323,Harbour Capital SAS,Hugo Laurent,Data & AI,Data Platform Modernisation,Closed Lost,0%,114500,EUR,2024-11-16,2025-04-09,2025-05-28,Not qualified,Outbound - SDR,2025-05-28,2025-05-28 17:00:00
