Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1939,Novara Industries - Data Platform Modernisation,ACC-10342,Novara Industries S.A.,Katarzyna Nowak,Data & AI,Data Platform Modernisation,Closed Lost,0,264400,PLN,2025-05-15,2025-08-19,2025-08-14,Lost to Competitor,Upsell,2025-08-14,2025-08-14 18:48:21
OPP-1942,Saxon Clinics - Security Assessment,ACC-10499,Saxon Clinics SA,David Moreau,Cybersecurity,Security Assessment,Discovery,40,69500,eur,2025-05-15,2025-12-17,,,Outbound - SDR,2025-10-24,2025-10-21 08:42:52
OPP-1952,Castellan Energy - SAP S/4HANA Implementation,ACC-10675,CASTELLAN ENERGY SA,Camille Bernard,ERP & Business Apps,,Closed Won,100,1467500,EUR,2025-05-17,2025-09-02,2025-11-13,,Existing Customer (Upsell),2025-11-13,2025-11-13 17:00:00
OPP-1975,Oakridge Capital - Identity & Access Management,ACC-10758,Oakridge Capital S.r.l.,Isabel Ferreira,Cybersecurity,Identity & Access Management,Closed - Lost,0,183500.00,EUR,2025-05-21,2026-01-11,2026-01-11,,AWS/Azure Co-sell,2026-01-11,2026-01-11 19:08:34
OPP-1898,Noord Components - Managed SOC,ACC-10460,Noord Components Sp. z o.o.,Jan Kowalski,Cyber,,Closed Won,100,1479900,PLN,2025-05-07,2025-10-06,2025-08-28,,Outbound,2025-08-28,2025-08-28 23:21:00
OPP-1969,Orion Bank - Salesforce Implementation,ACC-10520,Orion Bank SE,Lena Fischer,ERP & Business Apps,Salesforce Implementation,Closed Lost,0,"€434,000",EUR,2025-05-20,2025-10-16,2025-05-24,No Decision / Stalled,Existing Customer,2025-05-24,2025-05-24 17:06:54
OPP-1950,Atlas Renewables - Application Support,ACC-10539,Atlas Renewables SAS,Camille Bernard,ERP & Business Apps,Application Support,Closed Won,100,"€290,000",EUR,2025-05-16,2025-10-17,2025-10-25,,Outbound - SDR,2025-10-25,2025-10-25 17:00:00
OPP-1876,Corvina Industries - Data Platform Modernisation,ACC-10544,Corvina Industries N.V.,Emma de Vries,Data&AI,Data Platform Modernisation,Contracting,95,412500,EUR,2025-05-02,2025-08-01,,,Event / Webinar,2025-10-23,2025-10-18 05:21:27
OPP-2001,Gallway Freight - SAP S/4HANA Implementation,ACC-10039,GALLWAY FREIGHT SAS,Camille Bernard,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0%,573500,EUR,2025-05-26,2025-10-14,2025-10-24,Timing / Postponed,Website,2025-10-24,2025-10-24 17:00:00
OPP-1988,Invicta Authority - Managed SOC,ACC-10231,Invicta Authority S.r.l.,Isabel Ferreira,Cybersecurity,Managed SOC,closed won,100,256500,eur,2025-05-23,2025-11-22,2026-03-07,,Hyperscaler Co-sell,2026-03-07,2026-03-07 17:00:00
