Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1304,Silverline Bank - SAP S/4HANA Implementation,ACC-10234,Silverline Bank AG,J. Hoffmann,ERP and Business Applications,SAP S/4HANA Implementation,Closed Won,100%,769500,EUR,2025-01-06,2025-04-03,2025-08-18,,Inbound - Website,2025-08-18,2025-08-18 20:42:35
OPP-1389,Gallway Automotive - DevOps & Platform Engineering,ACC-10616,Gallway Automotive AG,Lukas Schneider,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0,163800.00,CHF,2025-01-25,2025-04-09,2025-06-09,lost to competitor,Hyperscaler Co-sell,2025-06-09,2025-06-09 17:00:00
OPP-1309,Wexford Clinics - Data Platform Modernisation,ACC-10582,WEXFORD CLINICS SE,anna müller,Data & AI,Data Platform Modernisation,Closed Lost,0%,137500.00,EUR,2025-01-07,2025-04-30,2025-05-07,Price,Hyperscaler Co-sell,2025-05-07,2025-05-07 21:23:57
OPP-1412,Vektor Pharma - SAP S/4HANA Implementation,ACC-10468,Vektor Pharma B.V.,Lena Fischer,ERP & Business Apps,SAP S/4HANA Implementation,Lost,0,362500,EUR,2025-01-30,2025-07-21,2025-06-13,Timing,Outbound,2025-06-13,2025-06-13 19:28:42
OPP-1353,Invicta Renewables - SAP S/4HANA Implementation,ACC-10630,Invicta Renewables A/S,S. Johansson,ERP & Business Apps,SAP S/4HANA Implementation,Lost,0,2258400.00,DKK,2025-01-18,2025-04-25,2025-01-23,No Decision / Stalled,Inbound - Website,2025-01-23,2025-01-23 17:00:00
OPP-1348,Kronberg Agency - Cloud Migration,ACC-10267,Kronberg Agency Ltd,Oliver Hughes,Cloud & Infrastructure,Cloud Migration,Closed Lost,0%,144400,GBP,2025-01-16,2025-10-08,2025-07-01,No Budget,Hyperscaler Co-sell,2025-07-01,2025-07-01 17:00:00
OPP-1333,Olympia Networks - Data Platform Modernisation,ACC-10646,Olympia Networks AG,Anna Müller,Data & AI,Data Platform Modernisation,Closed Lost,0,"283,000.00",CHF,2025-01-12,2025-06-15,2025-01-31,No Decision / Stalled,Event,2025-01-31,2025-01-31 17:00:00
OPP-1287,Danubia Precision - SAP S/4HANA Implementation,ACC-10184,Danubia Precision S.L.,Paolo Conti,ERP & Business Apps,SAP S/4HANA Implementation,Lost,0,996500,EUR,2025-01-03,2025-05-23,2025-10-17,Price,Existing Customer (Upsell),2025-10-17,2025-10-17 17:00:00
OPP-1283,Hansa Clinics - Analytics & BI,ACC-10591,Hansa Clinics S.L.,Marco Rossi,Data & AI,Analytics & BI,4 - Negotiation,95,32500,EUR,2025-01-03,2025-06-16,,,Inbound - Website,22/05/2025,2025-05-19 14:51:20
OPP-1388,Lindholm Utilities - Managed SOC,ACC-10018,Lindholm Utilities Oyj,Sara Andersson,Cyber Security,Managed SOC,5 - Closed Won,100,421500,EUR,2025-01-25,2025-06-02,2025-05-30,,Outbound - SDR,2025-05-30,2025-05-30 20:17:16
OPP-1409,Harbour Broadcast - Data Platform Modernisation,ACC-10162,HARBOUR BROADCAST B.V.,Emma de Vries,Data & AI,Data Platform Modernisation,Closed Won,100,"154,500.00",EUR,2025-01-29,2025-03-23,2025-07-15,,Event / Webinar,2025-07-15,2025-07-15 22:37:41
OPP-1384,Cygnus Institute - Data Platform Modernisation,ACC-10511,Cygnus Institute S.A.,Katarzyna Nowak,Data&AI,,Closed Lost,0,396100,PLN,2025-01-24,2025-09-07,2025-02-05,No decision,Event,2025-02-05,2025-02-05 17:00:00
OPP-1330,Gallway Industries - DevOps & Platform Engineering,ACC-10241,Gallway Industries ApS,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0,"1,091,300.00",dkk,2025-01-11,2025-05-31,2025-04-24,Not a Fit,Partner Referral,2025-04-24,2025-04-24 18:58:32
OPP-1354,Fjordline Connect - Identity & Access Management,ACC-10416,Fjordline Connect SAS,david moreau,Cybersecurity,Identity & Access Management,Closed Lost,0,107500,EUR,2025-01-18,2025-04-19,2025-04-04,No decision,AWS/Azure Co-sell,2025-04-04,2025-04-04 17:00:00
OPP-1334,Tamsin Components - AI & GenAI Solutions,ACC-10179,Tamsin Components B.V.,E. de Vries,Data & AI,AI & GenAI Solutions,closed lost,,324500,EUR,2025-01-12,2025-04-14,2025-04-08,No Decision / Stalled,Existing Customer (Upsell),2025-04-08,2025-04-08 19:03:19
OPP-1368,Polaris Invest - Managed Cloud Services,ACC-10426,Polaris Invest AG,Lukas Schneider,Cloud & Infra,Managed Cloud Services,Closed Lost,0,443000,EUR,2025-01-21,2025-06-14,2025-04-27,No Decision / Stalled,Inbound - Website,2025-04-27,2025-04-27 17:00:00
OPP-1321,Baltica Power - Identity & Access Management,ACC-10518,Baltica Power S.L.,Isabel Ferreira,Cyber Security,Identity & Access Management,Closed Won,100%,116500.00,EUR,2025-01-09,2025-05-23,2025-06-20,,Event / Webinar,2025-06-20,2025-06-20 17:00:00
OPP-1297,Nordwind Utilities - Managed SOC,ACC-10553,Nordwind Utilities NV,Sara Andersson,Cyber Security,Managed SOC,Lost,0,91000,€,2025-01-05,2025-06-22,2025-01-11,Not a Fit,Referral,2025-01-11,2025-01-11 17:00:00
OPP-1273,Castellan Telecom - Cloud Migration,ACC-10071,Castellan Telecom AB,Freja Nielsen,Cloud & Infrastructure,Cloud Migration,Closed Won,100%,,SEK,2025-01-01,2025-03-09,2025-03-13,,Event / Webinar,2025-03-13,2025-03-13 18:52:59
OPP-1395,Stellaris Industries - Identity & Access Management,ACC-10084,Stellaris Industries SE,Felix Wagner,Cybersecurity,Identity & Access Management,Lost,0,47500,EUR,2025-01-26,2025-06-22,2025-03-06,,Hyperscaler Co-sell,2025-03-06,2025-03-06 17:00:00
OPP-1377,Karlsson Networks - Managed Cloud Services,ACC-10442,Karlsson Networks S.L.,Mateo López,Cloud & Infrastructure,,Lost,0,176000.00,EUR,2025-01-23,2025-05-11,2025-03-10,No Decision / Stalled,Inbound - Website,2025-03-10,2025-03-10 17:00:00
OPP-1360,Baltica Retail - Salesforce Implementation,ACC-10080,BALTICA RETAIL SAS,camille bernard,ERP & Business Apps,Salesforce Implementation,Won,100%,"€215,000",EUR,2025-01-19,2025-05-26,2025-05-23,,Existing Customer,2025-05-23,2025-05-23 17:00:00
OPP-1329,Vektor Shipping - Cloud Migration,ACC-10306,Vektor Shipping SAS,Chloé Martin,Cloud & Infrastructure,Cloud Migration,Won,100%,125500,EUR,2025-01-11,2025-05-09,2025-05-07,,Event / Webinar,2025-05-07,2025-05-07 23:43:26
OPP-1391,Iberia Clinics - Managed SOC,ACC-10077,Iberia Clinics plc,Tom Barker,Cyber Security,Managed SOC,Closed Won,100,"85,100.00",GBP,2025-01-26,2025-06-15,2025-11-02,,Partner Referral,2025-11-02,2025-11-02 17:00:00
OPP-1404,Juniper Industries - SAP S/4HANA Implementation,ACC-10557,Juniper Industries Sp. z o.o.,Lena Fischer,ERP & Business Apps,SAP S/4HANA Implementation,closed lost,0,"PLN 5,872,800",pln,2025-01-28,2025-06-02,2025-02-04,Not qualified,Partner Referral,2025-02-04,2025-02-04 17:00:00
OPP-1376,Arcadia Renewables - Data Platform Modernisation,ACC-10625,Arcadia Renewables SA,Hugo Laurent,Data & AI,Data Platform Modernisation,Closed Lost,0,616000.00,EUR,2025-01-23,2025-05-04,2025-05-09,No Decision / Stalled,Outbound - SDR,2025-05-09,2025-05-09 17:00:00
OPP-1275,Corvina Logistics - Managed SOC,ACC-10148,Corvina Logistics Ltd,Tom Barker,Cybersecurity,Managed SOC,Lost,0,"212,900.00",gbp,2025-01-02,2025-04-01,2025-05-02,,Partner Referral,2025-05-02,2025-05-02 21:24:30
OPP-1295,Iberia Precision - Salesforce Implementation,ACC-10634,Iberia Precision AG,Lena Fischer,ERP & Business Apps,Salesforce Implementation,Closed Lost,0,184000,EUR,2025-01-05,2025-07-04,2025-02-08,No Decision / Stalled,Inbound - Website,2025-02-08,2025-02-08 17:00:00
