Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1483,Cygnus Industries - AI & GenAI Solutions,ACC-10593,CYGNUS INDUSTRIES PLC,Ethan Clarke  ,DATA & AI,AI & GenAI Solutions,Closed Lost,0,98300,GBP,2025-02-12,2025-05-13,2025-02-25,No fit,Partner Referral,2025-02-25,2025-02-25 17:00:00
OPP-1495,Lindholm Bank - Managed SOC,ACC-10482,Lindholm Bank AB,Sara Andersson,Cybersecurity,Managed SOC,closed won,100,"SEK 5,781,000",SEK,2025-02-14,2025-08-01,2025-04-25,,Referral,2025-04-25,2025-04-25 17:00:00
OPP-1539,Zephyr Assurance - Application Support,ACC-10339,Zephyr Assurance AG,"Hoffmann, Julia",ERP & Business Apps,Application Support,Closed - Lost,0,445500,EUR,2025-02-23,2025-08-06,13/06/2025,No Decision / Stalled,Existing Customer (Upsell),2025-06-13,2025-06-13 19:39:55
OPP-1484,Riviera Shipping - Managed SOC,ACC-10228,RIVIERA SHIPPING GMBH,Felix Wagner,Cybersecurity,Managed SOC,5 - Closed Won,100,339500,EUR,2025-02-12,2025-06-24,2025-05-09,,Hyperscaler Co-sell,2025-05-09,2025-05-09 17:00:00
OPP-1489,Karlsson Media - SAP S/4HANA Implementation,ACC-10082,Karlsson Media ASA,Sven Johansson,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,18706400,NOK,2025-02-13,2025-07-19,2025-02-25,No Budget,Event,2025-02-25,2025-02-25 17:00:00
OPP-1504,Stellaris Assurance - AI & GenAI Solutions,ACC-10601,STELLARIS ASSURANCE LTD,Niamh Walsh,Data & AI,AI & GenAI Solutions,Closed Lost,0,170 500,GBP,2025-02-16,2025-07-09,2025-06-12,Timing / Postponed,Partner Referral,2025-06-12,2025-06-12 19:14:36
OPP-1479,Alpenkraft Industries - Cloud Migration,ACC-10484,Alpenkraft Industries Ltd,Oliver Hughes,Cloud & Infrastructure,Cloud Migration,Lost,,52500,GBP,2025-02-12,2025-05-30,2025-02-24,No Budget,Inbound - Website,2025-02-24,2025-02-24 17:00:00
OPP-1516,Delta Medical - Data Platform Modernisation,ACC-10016,Delta Medical Ltd,Niamh Walsh,Data & AI,Data Platform Modernisation,Won,100%,91100,GBP,2025-02-19,2025-07-10,2025-08-29,,Inbound - Website,2025-08-29,2025-08-29 17:00:00
OPP-1503,Noord Agency - Analytics & BI,ACC-10588,Noord Agency plc,Ethan Clarke,Data and AI,Analytics & BI,Closed - Lost,0,29000,,2025-02-15,2025-08-05,2025-03-17,No Decision / Stalled,Partner Referral,2025-03-17,2025-03-17 17:00:00
OPP-1450,Silverline Medical - Cloud Migration,ACC-10371,Silverline Medical Oy,Freja Nielsen,Cloud & Infrastructure,Cloud Migration,Closed Lost,0,143500,EUR,2025-02-07,2025-05-31,2025-07-10,Scope Reduced / In-house,Outbound - SDR,2025-07-10,2025-07-10 17:00:00
OPP-1493,Harbour Automotive - Data Platform Modernisation,ACC-10353,Harbour Automotive S.L.,Marco Rossi,Data & AI,Data Platform Modernisation,Closed Lost,0,"927,000.00",EUR,2025-02-14,2025-04-24,2025-04-08,No Decision / Stalled,Event / Webinar,2025-04-08,2025-04-08 20:49:45
OPP-1512,Dunmore Connect - Application Support,ACC-10107,DUNMORE CONNECT PLC,Grace Thompson,ERP & Business Apps,Application Support,closed lost,,120900,GBP,2025-02-18,2025-06-04,2025-04-06,,Partner Referral,2025-04-06,2025-04-06 20:15:27
OPP-1462,Alpenkraft Finance - Analytics & BI,ACC-10628,Alpenkraft Finance SA,Hugo Laurent,Data & AI,Analytics & BI,5 - Closed Won,100,38000.00,EUR,2025-02-08,2025-06-06,2025-05-11,,Inbound - Website,2025-05-11,2025-05-11 20:51:03
OPP-1532,Fontaine Automotive - Salesforce Implementation,ACC-10502,Fontaine Automotive Lda,Paolo Conti,ERP & Business Apps,Salesforce Implementation,Closed Lost,0%,"571,000.00",EUR,2025-02-22,2025-07-29,2025-03-27,Not a Fit,Existing Customer (Upsell),2025-03-27,2025-03-27 17:00:00
OPP-1448,Falkner Municipal Services - Security Assessment,ACC-10529,Falkner Municipal Services SA,"Andersson, Sara",Cybersecurity,Security Assessment,Closed Won,100%,"69,000.00",EUR,2025-02-07,2025-07-03,15/07/2025,,Webinar,2025-07-15,2025-07-15 17:00:00
OPP-1427,Hansa Municipal Services - Managed Cloud Services,ACC-10049,Hansa Municipal Services S.L.,Mateo López,Cloud & Infrastructure,Managed Cloud Services,Closed - Lost,0,333500,EUR,2025-02-02,2025-09-14,2025-03-21,No Decision / Stalled,Partner Referral,2025-03-21,2025-03-21 17:00:00
OPP-1510,Moselle Foods - Cloud Migration,ACC-10047,Moselle Foods SA,Lukas Schneider,Cloud & Infrastructure,Cloud Migration,Closed - Lost,0,"CHF 190,900",CHF,2025-02-17,2025-07-02,2025-02-24,No Budget,Partner,2025-02-24,2025-02-24 17:57:16
OPP-1474,Kronberg Municipal Services - Cloud Migration,ACC-10318,Kronberg Municipal Services Oyj,Freja Nielsen,Cloud and Infrastructure,Cloud Migration,Closed Lost,0%,131000,EUR,2025-02-11,2025-07-27,2025-03-08,Not a Fit,Website,08/03/2025,2025-03-08 17:00:00
OPP-1526,Kronberg Connect - AI & GenAI Solutions,ACC-10689,KRONBERG CONNECT LTD,Ethan Clarke,Data & AI,AI & GenAI Solutions,Closed Lost,0,231000.00,GBP,2025-02-20,2025-04-29,2025-02-21,,SDR,2025-02-21,2025-02-21 17:00:00
OPP-1559,Lindholm Brands - Salesforce Implementation,ACC-10490,Lindholm Brands S.A.,Paolo Conti,ERP and Business Applications,Salesforce Implementation,Lost,0,134000,EUR,2025-02-28,2025-07-18,2025-03-04,No Budget,Hyperscaler Co-sell,2025-03-04,2025-03-04 17:00:00
OPP-1550,Harbour Components - Cloud Migration,ACC-10538,Harbour Components SA,L. Schneider,Cloud & Infra,Cloud Migration,closed lost,0%,154000,CHF,2025-02-27,2025-07-16,2025-05-29,No decision,Partner Referral,2025-05-29,2025-05-29 17:00:00
OPP-1482,Quadra Foods - Security Assessment,ACC-10684,Quadra Foods Ltd,"Barker, Tom",Cybersecurity,Security Assessment,5 - Closed Won,100%,8400,GBP,2025-02-12,2025-05-08,2025-05-31,,Hyperscaler Co-sell,2025-05-31,2025-05-31 17:00:00
